;id;r1;r2;r3;dist1;clusters
59;128416;3282870;-9.97178;2.06569;0.071495066;0
60;283773;2172282;-9.993839999999999;1.92852;0.07174493700000001;0
61;274469;2954334;-10.0143;1.92963;0.071808265;0
62;99987;4251786;-10.0646;1.9632900000000002;0.074301979;0
63;60775;1553806;-10.0254;1.92913;0.075284241;0
64;5891;1900559;-10.0114;2.07458;0.075446248;0
65;355122;3174976;-9.924539999999999;2.00075;0.07546372700000001;0
66;74640;2603832;-10.0177;1.92641;0.075688692;0
67;344502;3681653;-10.0499;2.05795;0.076473607;0
68;83786;3165423;-9.93269;1.96291;0.076852483;0
69;337035;2506219;-9.95699;1.9361599999999999;0.076976657;0
70;77796;2010162;-10.0592;1.9504400000000002;0.077206435;0
71;83390;5363947;-10.0294;1.9284;0.07740103400000001;0
72;83432;2488256;-10.0014;2.0779099999999997;0.07792257799999999;0
73;39985;3890996;-9.99368;1.9221099999999998;0.078145982;0
74;77650;3949075;-9.942210000000001;1.94724;0.078251528;0
75;319330;4728769;-10.078;1.98895;0.07877882;0
76;15508;5192349;-9.95314;1.93661;0.078829891;0
77;357453;2673928;-10.0518;2.06011;0.079350187;0
78;72055;5009729;-9.959610000000001;1.93135;0.079650327;0
79;16967;5248922;-9.92507;1.96915;0.081032261;0
80;106505;1784876;-9.94105;2.05565;0.081068027;0
81;352804;4715946;-10.0596;1.94503;0.08107934900000001;0
82;137172;2569363;-9.93786;1.9474200000000002;0.081400467;0
83;118192;2797641;-10.052;2.06372;0.08224499;0
84;87438;2609809;-9.934510000000001;1.94914;0.082919718;0
85;225601;4693692;-10.052999999999999;1.93478;0.084039564;0
86;193948;4092080;-10.0756;1.96312;0.084115958;0
87;103809;5767936;-10.0661;1.9474200000000002;0.084462219;0
88;109035;4277735;-9.91625;1.9885400000000002;0.084530433;0
89;95422;2788789;-9.9719;1.92009;0.084706659;0
90;137349;5869693;-10.0014;2.08515;0.08516150800000001;0
91;70327;5693933;-10.0855;2.00108;0.085506821;0
92;116833;1930798;-10.0025;1.91415;0.085886393;0
93;59752;1559204;-10.0566;1.93355;0.087287814;0
94;118867;5642787;-9.9532;1.92585;0.087683878;0
95;204445;5402817;-9.94162;1.93392;0.088174774;0
96;323664;3111265;-9.91588;2.02661;0.08822849;0
97;224351;1610832;-9.92723;1.9494900000000002;0.088581787;0
98;190229;2987345;-10.0873;1.9830400000000001;0.088932174;0
99;301237;3535233;-10.0867;1.97986;0.08900848;0
100;226439;1375877;-9.91693;1.9664599999999999;0.08958547;0
101;148345;4103424;-10.0894;2.00807;0.089763494;0
102;154283;5638747;-9.93485;2.0621099999999997;0.09001208;0
103;96779;2580550;-9.922410000000001;1.9542700000000002;0.090063539;0
