id;r1;r2;r3;dist2
141330;4983708;-15.0109;4.94046;0.06052951
328176;1807266;-15.0328;5.05278;0.062141519
1088;4272991;-14.9425;5.02715;0.063587518
145052;5897532;-14.9364;4.99886;0.063610216
5167;4271042;-14.9366;5.00769;0.06386467
250417;1937383;-15.036;5.05495;0.065692484
327261;2198270;-14.9429;5.03275;0.065825318
359811;3444324;-15.0323;5.05811;0.066483548
143118;5519793;-15.0603;4.97032;0.067208574
75828;3614156;-14.9824;4.93491;0.067427503
306970;4901638;-15.0425;5.05511;0.069594268
144222;2037018;-14.9542;4.94687;0.070145826
241435;1875692;-14.9322;4.98161;0.070249784
50930;2151355;-15.0675;5.01995;0.070386451
104363;3973804;-15.0245;4.93217;0.072119061
159110;2610950;-15.0379;5.06179;0.072487338
224449;1742673;-15.0423;4.94102;0.07258051
270574;1532301;-15.0298;5.06619;0.072588953
85805;4921934;-15.0536;5.04904;0.07264903
138845;2406273;-14.933;5.02927;0.073114519
249513;5420693;-14.9266;5.01199;0.074372845
349112;2561990;-14.9314;4.96931;0.075152086
232908;1696549;-15.0376;4.93405;0.075915496
1177;4808719;-14.9838;5.07421;0.075957647
295690;1698254;-15.018;4.9261;0.076060568
63973;4365860;-15.0771;5.00072;0.077103362
174249;3743625;-14.9333;5.0394;0.077467735
905;2105314;-14.9232;5.01062;0.077530796
33692;1348681;-15.0374;5.0691;0.078572069
106988;3692137;-15.0637;5.04723;0.079299199
56433;3736889;-14.9793;5.07656;0.079309039
348943;5732932;-15.0713;4.965;0.079427262
297902;3339046;-14.9215;4.9841;0.08009407
237866;4231494;-14.939;4.94789;0.080227502
215247;4397316;-14.9203;5.01344;0.080825266
106374;5109669;-14.9409;4.94421;0.081273207
107986;2208676;-14.9188;4.99651;0.081274966
4108;5905658;-14.972;4.92311;0.081829531
276109;4809266;-14.9184;4.99312;0.081889526
252709;2462375;-14.9209;4.97778;0.08216166
113104;4990895;-15.0796;5.02167;0.082496963
60201;2199395;-15.0157;4.91825;0.083243934
52371;1020380;-14.921;4.97362;0.083288081
320923;5393432;-15.0835;5.00316;0.083559773
344815;2888239;-15.055;5.06311;0.083713034
37018;2961263;-15.0043;4.91619;0.083920237
342499;5431388;-14.9725;4.92055;0.084074684
152226;2992035;-14.9156;5.00233;0.084432156
257955;5623320;-15.078;5.03377;0.084996546
181974;1039310;-15.0769;4.96324;0.085234427
185976;5914856;-15.0436;5.07414;0.086009881
148671;1414694;-14.9785;4.91659;0.086136392
78489;5745887;-15.0752;5.0421;0.086182655
309809;3197423;-14.93;4.94877;0.08674395
345442;4292298;-15.0148;5.08595;0.087214921
13551;5917750;-15.0865;4.98486;0.087814974
306305;4800284;-15.0244;4.91475;0.088673122
