id;r1;r2;r3
3588;4710713;-13,6914;5,11409
3596;1092632;-14,592;2,79934
3597;2348986;-10,1285;1,68786
3598;3275313;-11,0163;4,95592
3602;4050177;-9,09508;1,56359
3609;2109612;-12,4145;6,50647
3614;4026492;-9,87779;3,81522
3626;3777862;-11,4198;5,60181
3634;5303687;-11,4876;4,50342
3635;2583114;-12,9917;3,46377
3636;4589736;-12,2575;5,62174
3638;3643201;-13,2149;4,62904
3640;1461069;-14,1612;1,25319
3644;4704768;-10,836;4,81996
3647;5415947;-10,563;4,08946
3648;4889350;-11,0648;1,28042
3649;2669046;-12,7407;2,22867
3651;4947003;-12,1177;3,55433
3657;3033721;-11,9636;4,33943
3661;1622305;-12,2672;5,48127
3670;3476019;-14,2695;4,43308
3680;4362540;-9,60025;0,471665
3692;3485687;-11,6734;3,56091
3702;5732409;-16,2667;5,15191
3710;2101569;-12,2546;3,21541
3713;3565450;-15,6199;3,34445
3734;2413846;-12,2732;2,99812
3761;2197256;-12,5;2,20909
3762;4616489;-14,6889;4,39895
3771;4702092;-11,48;3,61578
3781;4446606;-13,7867;5,1559
3785;4076466;-9,85737;5,33363
3801;5881039;-12,0568;1,17355
3810;5218936;-9,17283;3,96679
3814;3636756;-12,5866;5,54771
3818;3310435;-10,3141;4,4318
3823;4506159;-10,9534;3,96815
3827;5805041;-12,5404;2,84108
3831;2894840;-14,5519;3,90033
3835;5572776;-11,9244;2,92597
3836;5039611;-13,699;3,62584
3857;3083831;-13,0594;5,42903
3873;1483065;-12,4165;2,7547
3878;3841125;-13,3289;5,38727
3882;3572435;-14,2184;3,52459
3884;5178459;-10,9309;4,48108
3886;4482930;-15,7197;5,09577
3889;1430435;-12,8792;4,96229
3893;3829171;-15,9228;3,42464
3901;5594611;-13,4928;6,27813
3902;4440188;-13,1783;1,24348
3909;5541977;-11,6416;2,28204
3910;1792141;-10,851;5,19292
3913;5478911;-15,2791;5,80181
3920;5356313;-11,2537;3,74861
3927;1428297;-14,3092;5,27345
3939;3802045;-13,5953;2,27067
3943;2283396;-10,4262;1,66909
3944;1692836;-14,2981;2,32829
3948;5433203;-11,239;2,74971
3949;2716928;-10,7035;5,03237
3953;4176030;-14,1945;1,7517
3954;3045037;-11,3631;5,29234
3957;2503018;-12,667;2,80703
3962;5609463;-15,3081;4,37413
3968;4488520;-13,4233;1,98638
3970;4352520;-12,9381;2,7803
3974;4219277;-13,8832;4,76869
3975;3736568;-13,9628;3,99936
3976;3151136;-12,5258;3,97737
3977;4881982;-12,9397;4,63217
3980;5570497;-11,1402;4,50133
3981;3901162;-10,1525;5,40188
3983;5128061;-12,7979;1,88758
3987;1082760;-11,0539;2,92686
3989;4790490;-9,93277;2,194
3995;3641701;-14,3436;1,88461
4003;4459543;-10,4976;1,50061
4027;1368290;-12,9122;4,31684
4032;1188614;-15,0124;4,67499
4034;5552837;-12,5883;1,91769
4035;5965340;-14,634;4,32347
4040;1744047;-12,2721;5,42371
4052;5863819;-14,3272;4,02245
4055;4542541;-12,8616;2,51709
4056;2141454;-13,749;2,03353
4059;4678398;-12,928;4,34022
4060;3833775;-9,78587;5,05712
4061;3528552;-12,386;3,3472
4063;3769058;-14,3903;4,29286
4064;2606119;-11,5811;4,2415
4069;1212819;-10,496;2,60687
4076;3838901;-11,5054;4,12036
