id;r1;r2;r3;dist1
177530;4325057;-10.0138;1.86652;0.134191469
342767;1250475;-9.86895;1.97093;0.134235492
211805;1894006;-10.0939;2.09609;0.134352142
100927;4046910;-9.945;2.12339;0.135092902
16054;4468659;-10.0742;1.88696;0.135217165
226758;4258889;-10.1352;1.992;0.13543648
117667;6002097;-9.87563;1.9462;0.135507701
168590;3301264;-10.1298;1.96103;0.135523802
207408;1041120;-10.0877;2.10375;0.135850478
197572;1512151;-10.0571;2.12345;0.136015854
119060;3712942;-9.89458;1.91395;0.136080781
235267;3327362;-10.0757;1.88669;0.136270489
351771;2197523;-10.1044;2.08764;0.136308949
12367;5021260;-10.1196;1.93447;0.136375734
40074;5261585;-9.86316;1.98874;0.137302488
267132;4467453;-9.86544;2.02788;0.137417932
92866;5458404;-9.89306;2.08633;0.137437377
174347;5683437;-10.1295;1.95341;0.137625863
242662;3292257;-10.0388;2.13264;0.138198443
307815;3899953;-9.99271;1.86164;0.138551917
280919;4566236;-10.1058;2.08956;0.138616859
58130;1741683;-10.1048;2.09095;0.13876218
7124;1726340;-9.8713;2.05246;0.138981084
389;5151722;-9.94789;1.87109;0.139044023
280586;5729624;-10.0861;2.11002;0.139705442
348560;4958424;-10.1015;1.90369;0.139920928
34170;2705148;-10.0492;1.86892;0.140009308
101478;3174714;-10.0934;1.89493;0.14058188
7780;4782019;-9.8625;2.03052;0.140846443
5746;2152817;-9.88883;2.08658;0.140907293
75861;3866477;-10.0447;2.13395;0.141211517
249633;5538678;-9.95881;1.86443;0.141689241
175382;5189764;-10.0734;1.87863;0.141838771
145011;2663876;-10.1423;1.98497;0.143091547
181232;2305962;-10.0483;2.13471;0.143107212
170591;3380506;-9.85918;2.02584;0.143171149
44674;5995016;-9.86128;1.96289;0.143598017
161624;1941543;-10.0859;2.11508;0.143604375
53378;2165024;-10.1438;1.99198;0.144023472
150182;2849786;-10.1384;2.04067;0.144251894
300628;2718356;-10.1308;2.06157;0.144566611
340706;3293339;-10.1395;2.03902;0.144854446
330384;2177541;-9.96994;1.85793;0.145215318
73236;2103827;-10.0367;2.14134;0.146027003
