id;r1;r2;r3;dist2
192566;4911213;-14,9685;4,85592;0,147483207
328643;4658751;-15,1388;4,94904;0,147859263
292454;4147029;-15,0401;5,1426;0,148130922
334326;1815194;-14,8511;4,99376;0,149030693
31047;1706006;-15,149;4,98307;0,149958744
175825;5259048;-15,0364;5,14553;0,150013136
340123;5419771;-14,9316;5,13508;0,151410589
274106;1521518;-15,1454;4,95347;0,152663686
114550;5583673;-14,9453;4,85655;0,153525218
266235;5547494;-15,0627;4,85884;0,154458524
238769;5713342;-14,9126;4,87248;0,154596605
102080;4537385;-15,0437;5,14868;0,154969134
336591;1990870;-14,9206;5,13321;0,155078252
86300;3247148;-14,9174;4,86844;0,155340895
171550;2495091;-15,0891;5,12777;0,155769005
32841;6007870;-14,869;5,08545;0,156405571
25236;2687214;-15,0363;5,15271;0,156965073
4839;4433313;-14,843;4,9914;0,157235365
284062;1358504;-14,9515;4,84984;0,157798212
102436;3581373;-14,8654;4,91704;0,15811237
224323;3686636;-14,8825;4,89356;0,158542498
221141;5556708;-14,8847;5,10906;0,158707825
330738;4085395;-14,9251;4,85965;0,159085299
251053;1559303;-14,9285;5,14226;0,159217328
96213;3052574;-14,8479;5,04743;0,159323617
238227;5669981;-15,0983;4,87445;0,159454359
122580;4280502;-14,9426;4,85028;0,160345996
330596;3981606;-14,891;5,1182;0,160786318
334715;1191091;-15,1608;5,00419;0,160854581
340336;4812724;-15,1139;4,88133;0,164486409
18091;5235531;-14,868;5,09907;0,16504201
335506;5096751;-15,0334;4,83798;0,165426843
243438;1388409;-15,1545;5,05927;0,165478648
180517;2952885;-15,1624;4,96116;0,166979956
32809;2907878;-14,8322;5,0029;0,167825058
50752;3257572;-14,9147;4,85483;0,168375826
231868;1642352;-14,918;5,14751;0,168769666
37804;5424907;-14,8921;5,13136;0,169993705
4188;1921857;-14,8558;4,90844;0,170812393
141111;5261329;-15,1664;5,04275;0,171803732
94393;5911461;-15,1722;5,00465;0,172262772
288925;1158573;-15,0155;5,17221;0,172906142
172006;1240463;-14,8758;4,87968;0,172923516
98735;2368153;-14,8274;5,01725;0,173459858
196965;5163449;-14,9764;5,17189;0,173502542
188477;3624512;-15,1087;4,86444;0,173759039
247083;5960827;-14,943;4,8351;0,174473522
80127;1752698;-14,8256;4,99315;0,174534474
229891;5554284;-14,8309;5,04659;0,175400793
119877;1022384;-14,9876;5,17515;0,175588389
342147;2412888;-14,9728;4,82646;0,175658679
18331;5470530;-14,9314;5,16264;0,176515522
353655;2001861;-15,1295;5,12012;0,176632569
16504;2886206;-15,1521;5,09041;0,176941736
351601;1115742;-15,0806;5,15788;0,177263799
76326;3839962;-14,8217;4,99661;0,178332224
270358;4626693;-15,1314;5,12079;0,178483008
316684;4500301;-14,9875;4,82142;0,179016944
181155;1979895;-14,9455;5,17087;0,179351072
342681;3219271;-14,8315;4,93855;0,17935538
200166;4140144;-14,9094;5,15527;0,179769666
28966;4969836;-14,9903;4,81984;0,18042094
30660;5959629;-15,1548;4,90411;0,182093196
155538;5845094;-14,8622;4,8806;0,182332663
302996;4956393;-14,8435;4,90615;0,182483075
94602;3419822;-15,1833;5,00532;0,183377186
285954;1144421;-14,9189;4,83553;0,183378273
243954;3081163;-14,8611;4,8801;0,183491744
310226;2191177;-14,9576;4,82114;0,183816919
77577;4901826;-14,9211;4,83386;0,183923108
23080;3133396;-15,1605;4,90961;0,184202612
74135;3926305;-15,1704;5,07033;0,184343345
17555;3867926;-14,8204;5,04491;0,185129868
183611;1035415;-14,831;4,92432;0,185171441
303274;2194243;-14,9212;4,83169;0,185843203
303906;6010436;-15,135;5,12804;0,186062467
33130;4776610;-14,9414;4,82336;0,186106554
221403;5521145;-15,0252;4,8154;0,186312104
299927;4354392;-15,0266;4,81477;0,187130203
75132;1291308;-14,8128;4,99275;0,187340339
53763;2688261;-14,974;5,18585;0,187659859
298156;5622548;-15,0442;4,81695;0,18831076
105293;2894716;-15,1194;5,14594;0,18855992
188597;5219269;-14,8126;4,97904;0,188568506
86079;2099976;-14,8233;4,93347;0,188809774
145329;5953849;-15,1889;5,00423;0,188947355
7745;2722687;-15,1276;5,14079;0,190009432
300306;3836079;-15,0058;4,80969;0,190398362
20201;2900732;-14,9228;5,17408;0,190430267
323826;2322759;-14,9439;5,18326;0,191654475
140622;5760574;-15,1909;4,97863;0,192092392
305257;5467475;-15,1738;5,0828;0,192515662
127728;2879838;-14,9248;4,82275;0,192542469
291626;2895367;-15,1906;5,02842;0,192707178
86006;1126169;-14,8684;4,85859;0,19317181
126930;4865890;-14,8085;5,02716;0,193416431
256918;4732104;-15,0856;4,82629;0,193655684
300021;4716903;-14,9822;4,80641;0,194406605
128324;4565495;-14,8905;4,83927;0,194484917
213643;1061611;-14,9974;5,19498;0,194997334
276997;2772482;-14,9952;5,19527;0,195328986
113419;5666701;-14,8671;5,14344;0,195543968
134080;4418285;-15,0453;5,19052;0,195831459
279731;1004511;-15,085;4,82275;0,196577116
57503;5223174;-15,1736;4,90734;0,196781187
246125;2871613;-15,1644;4,89172;0,19685507
194076;2966831;-14,8028;5,00876;0,197394472
212681;1256032;-14,806;4,9632;0,197459464
359581;2412363;-14,8512;4,86939;0,197990939
215421;3510134;-15,0789;4,81702;0,199265879
290767;3125021;-15,0314;5,197;0,199486741
230213;5828076;-14,8018;4,9747;0,199808233
96900;5454304;-14,9493;5,19378;0,200302717
312410;4633892;-14,9254;4,81354;0,200829509
107787;4879707;-14,7992;5,00817;0,200966139
77362;1027673;-14,9534;5,19563;0,201103597
254909;4612300;-15,1816;5,08752;0,20158946
161710;5138274;-14,9193;5,18498;0,201816973
210337;3975514;-15,1335;4,84808;0,202242272
35349;3430712;-14,8653;4,84719;0,203703181
339834;3804382;-15,1604;4,87353;0,204261648
292346;3566196;-15,201;5,03675;0,204331991
227776;3631006;-14,7997;4,95859;0,204535762
238776;4040482;-14,9089;4,8163;0,205048531
11973;1409060;-15,1643;5,12429;0,206015762
285470;2299188;-14,8908;4,82481;0,206436857
