id;r1;r2;r3
1753;5839180;-10.2689;2.3828
1754;5783596;-9.74961;0.407231
1758;1592798;-9.38452;2.57265
1775;4321392;-9.32255;2.73152
1786;5736214;-15.0725;3.89135
1794;5030603;-16.0792;5.089930000000001
1796;2851230;-10.7774;2.55975
1800;5130961;-11.2642;2.8881200000000002
1803;3414212;-9.94594;2.50799
1804;3580477;-14.1013;4.5292699999999995
1816;4031310;-15.0166;5.34849
1818;1820979;-10.1278;3.5824199999999995
1819;3672196;-9.962110000000001;2.50765
1820;5904333;-16.6135;4.1198
1823;5995757;-14.1706;4.115469999999999
1826;4566063;-7.24555;3.6832199999999995
1829;3796610;-13.9017;5.47711
1830;2664268;-9.72123;3.37164
1837;3287505;-14.2692;4.32179
1842;4575240;-10.0786;2.9058200000000003
1843;2096207;-14.8541;3.8732599999999997
1850;4560490;-14.9616;5.27999
1852;1750663;-9.651760000000001;3.88825
1854;5342805;-6.62936;4.2109
1864;3444135;-13.6928;4.0281
1868;4480696;-10.3373;2.29925
1874;1632384;-14.4073;4.59248
1876;4341240;-14.8002;5.18185
1887;1585572;-10.2564;1.7357799999999999
1897;5190491;-10.5119;3.3875
1898;2928970;-9.65348;3.0655099999999997
1906;4252140;-8.073789999999999;4.1913800000000005
1907;2705526;-10.7544;3.05182
1908;3418737;-8.79076;0.62485
1910;3320598;-10.1534;3.52735
1911;2671250;-10.7444;3.52029
1917;2813156;-10.2665;2.93823
1920;1620475;-11.0853;2.89889
1926;3266441;-14.6857;4.20781
1927;1847990;-11.017000000000001;3.32925
1930;2052180;-10.2969;2.8656099999999998
1933;3385113;-10.8194;3.0129099999999998
1936;2601150;-10.885;2.83447
1961;5627957;-8.84999;3.42438
1973;4252123;-10.862;2.6342
1977;1910312;-10.562999999999999;3.18141
1985;1860952;-10.6427;3.6432800000000003
1988;2686412;-10.356;3.6762599999999996
1989;5122881;-13.7871;3.8249400000000002
1993;5039078;-15.6177;5.04186
1995;6018920;-10.808;3.43191
1997;3601308;-15.6879;4.78815
2007;2315549;-14.9476;5.48455
2010;3724998;-14.19;5.0012099999999995
2011;5368777;-10.7549;2.21302
2016;3332455;-10.1446;1.82897
2021;2850049;-14.3935;4.75625
2036;5358677;-13.5718;4.80376
2042;4266860;-13.6982;4.5311900000000005
2047;2070720;-14.4431;4.62977
2051;4524178;-10.321;2.8418799999999997
2055;2960466;-13.4742;5.0066
2057;4689088;-14.4264;4.39572
2066;3278538;-15.7738;5.19259
2077;5415046;-13.7864;5.26507
2082;1249816;-9.83375;3.5831800000000005
2083;2293846;-13.8038;4.11723
2084;4393962;-10.3447;2.7448
2085;3871017;-9.837819999999999;0.16054200000000002
2089;1559064;-16.2909;4.98327
2096;3158194;-9.37299;2.9941400000000002
2099;5562560;-13.4784;4.1394
2102;3529549;-8.44029;0.609545
2106;1284924;-13.795;5.1071599999999995
2108;5311045;-14.5041;4.376469999999999
2114;2382802;-10.6622;2.1677299999999997
2115;2820838;-15.2156;4.0143699999999995
2119;1826432;-13.4332;5.0126599999999994
2120;4713479;-9.048060000000001;1.2353100000000001
2122;4719977;-13.9446;4.69611
