;id;r1;r2;r3;clusters
75;349;5192998;-17.0494;4.46481;1
76;351;4311202;-10.487;3.33106;0
77;355;5376471;-15.608;4.81988;1
78;371;5455465;-13.4085;4.22741;1
79;372;4100444;-14.3649;5.09137;1
80;373;1616629;-13.9935;5.24228;1
81;381;1284804;-10.3961;2.39399;0
82;382;3153519;-10.0141;2.72216;0
83;384;2128301;-13.5836;3.88384;1
84;385;2931325;-15.0825;5.39436;1
85;388;3370778;-14.6942;6.33412;1
86;389;5151722;-9.94789;1.87109;0
87;395;5320894;-14.9577;5.80295;1
88;399;3130201;-14.1191;4.6819;1
89;402;3415513;-13.9752;5.08294;1
90;403;2790231;-13.9528;4.6452;1
91;405;2185375;-9.67568;1.7839900000000002;0
92;408;2681868;-10.6102;2.66406;0
93;412;2505408;-8.69675;2.88796;0
94;422;4354564;-14.5319;6.66828;1
95;423;1918284;-14.7018;4.439030000000002;1
96;424;3925676;-10.2201;3.56728;0
97;431;5864154;-8.31734;1.11995;0
98;440;4959192;-9.80395;1.87464;0
99;446;5825468;-14.4772;5.20409;1
100;449;3233902;-10.4205;2.54841;0
101;451;1983455;-14.3186;5.55736;1
102;454;1886311;-11.0745;3.04701;0
103;457;3324138;-14.4807;5.33453;1
104;461;1045189;-13.585;4.39001;1
105;467;4827246;-14.4428;4.10928;1
106;468;2001482;-15.0961;4.98219;1
107;469;4683913;-13.6966;5.28206;1
108;473;3513987;-17.5019;4.60156;1
109;479;4872363;-11.0434;2.91908;0
110;482;3114106;-15.2543;4.51095;1
111;488;3600687;-13.8158;5.30262;1
112;491;1433792;-9.17967;2.70704;0
113;493;1800561;-9.74087;1.21735;0
114;500;4388082;-10.4406;1.03664;0
115;503;6020437;-14.3325;4.61291;1
116;513;4700275;-11.0004;2.89883;0
117;515;3301558;-11.035;2.51962;0
118;518;1429399;-15.777;3.92524;1
119;522;3871377;-14.1242;4.80144;1
120;523;1857101;-13.3547;4.82425;1
121;524;1951159;-11.0794;2.97935;0
122;531;4180075;-14.2724;4.12793;1
123;533;5253541;-14.2709;4.46775;1
124;534;4852133;-14.3369;3.99751;1
125;535;3078127;-10.605;3.57695;0
126;537;1356916;-15.2209;3.86211;1
127;539;3414342;-10.34;2.77654;0
128;540;2224948;-13.7772;3.90736;1
129;546;4799241;-14.1613;4.10325;1
130;548;5309836;-9.84663;2.4426400000000004;0
131;550;4885068;-14.6389;5.71018;1
132;556;2056969;-14.6595;4.17646;1
133;560;4184614;-10.5392;2.04837;0
134;564;5348987;-10.7741;3.40356;0
135;568;5239782;-10.4077;3.66422;0
136;587;3018960;-10.0598;3.16832;0
137;591;3899492;-16.2343;3.78251;1
138;608;3047060;-9.74341;3.80634;0
139;610;2661565;-14.6711;3.92722;1
140;613;4642428;-9.86218;0.33653;0
141;623;1376907;-13.7482;4.71196;1
142;638;5315088;-14.536;5.03183;1
143;649;5154197;-6.72674;4.63253;0
144;650;3586206;-13.3842;4.78834;1
145;655;5692332;-10.4936;2.7423900000000003;0
146;656;2692687;-11.0925;3.12601;0
147;658;3138088;-14.3612;4.432;1
148;659;1373661;-14.2056;4.52709;1
149;667;4499313;-10.7688;3.42166;0
150;674;2382532;-14.3607;4.8716300000000015;1
151;686;1850567;-8.98429;2.85334;0
152;695;3119627;-13.7497;4.41363;1
153;703;2050081;-9.09646;-0.456046;0
154;704;1759937;-9.91538;0.6579229999999999;0
155;705;3056117;-10.2853;2.4190400000000003;0
156;708;4317240;-13.6386;4.33354;1
157;727;3551268;-10.3078;3.71032;0
158;728;5624627;-14.5748;6.1706;1
159;733;4276720;-14.8933;4.65276;1
160;737;3664509;-13.7314;4.50672;1
161;749;1521165;-15.0936;5.02878;1
162;756;2060418;-9.71093;3.21236;0
163;763;1063213;-13.4472;4.7993;1
164;765;2933522;-13.9298;4.31046;1
165;767;2635127;-18.4173;4.63439;1
166;771;5179919;-13.9394;4.4042900000000005;1
167;780;5775243;-14.129;4.12994;1
168;783;5125421;-10.9111;3.12795;0
169;786;5159184;-15.8056;4.0937;1
170;792;1588103;-8.53842;1.6765900000000002;0
171;802;1553536;-8.76944;1.78918;0
172;811;2789816;-14.8258;3.79097;1
173;812;1842046;-9.2088;2.13367;0
174;819;3398345;-10.5664;3.25779;0
175;820;4485728;-9.52968;1.69291;0
176;823;2758545;-15.7219;4.35525;1
177;825;1091500;-15.7426;5.55915;1
178;828;5686688;-9.80612;3.44305;0
179;831;1983942;-10.5406;3.18329;0
180;832;5940296;-10.3872;3.3391800000000003;0
181;835;4782832;-9.85165;1.96015;0
182;843;2638449;-7.9232;2.1165700000000003;0
183;845;3687144;-8.11122;0.131204;0
184;854;5075050;-10.7726;3.36807;0
185;868;3263126;-15.069;4.10091;1
186;881;2899308;-15.1203;5.74655;1
187;889;2082594;-10.2216;3.46177;0
188;890;1831185;-15.7416;4.08683;1
189;891;2315530;-9.37925;2.78263;0
190;892;1995261;-14.0262;4.10767;1
191;905;2105314;-14.9232;5.0106199999999985;1
192;906;4739605;-10.4362;2.06428;0
